ID,ID_String,Twitter_Name,Twitter_Username,Location,followers_count,friends_count,listed_count,created_at,favourites_count,favourites_count,verified,statuses_count
1292055799829688300,1292055799829688320,xiao,sanshiliuxiaoye,地球,47,432,0,Sat Aug 08 11:11:34 +0000 2020,204,204,false,306
1004035844888547300,1004035844888547328,urbn,Urban_Sz,"Wrocław, Polska",32,742,11,Tue Jun 05 16:22:54 +0000 2018,3144,3144,false,535
1498819979738853400,1498819979738853380,Tomasz.eth,Reveal_My_NFT,Poland - Zabrze,898,1174,1,Wed Mar 02 00:38:39 +0000 2022,1578,1578,false,1597
1396902752815562800,1396902752815562760,CaleX,CryptoCaleX,,105,534,2,Mon May 24 18:55:56 +0000 2021,247,247,false,629
1470349848499077000,1470349848499077121,🧩star😄,staratlaspersia,Iran,13,157,0,Mon Dec 13 11:08:28 +0000 2021,154,154,false,264
1519643500530516000,1519643500530515968,Robi opit,OpitRobi,,13,40,0,Thu Apr 28 11:43:53 +0000 2022,24,24,false,14
613829843,613829843,HadiYousefy.x,HadiYousefy,,472,3201,23,Wed Jun 20 22:59:22 +0000 2012,11007,11007,false,13024
1451296378899009500,1451296378899009543,PrzenoTGS,PrzenoTGS,"Bytom, Polska",213,1977,8,Thu Oct 21 21:17:15 +0000 2021,4716,4716,false,6346
1505868541974974500,1505868541974974464,CosmicEye,CosmicEye_VN,CosmoS,0,65,0,Mon Mar 21 11:27:06 +0000 2022,33,33,false,87
1499693361313161200,1499693361313161217,Hindu eSports,HindueSports,,2,21,0,Fri Mar 04 10:29:07 +0000 2022,1,1,false,34
1178477876917735400,1178477876917735426,Bienvenido,Bienven80278429,,3,395,4,Mon Sep 30 01:13:30 +0000 2019,257,257,false,658
1527212542288105500,1527212542288105474,Raoop,Raoop21,,0,10,0,Thu May 19 09:00:29 +0000 2022,4,4,false,5
43008790,43008790,Ⱥ BigStepForward,Big_StepForward,"Seoul, S.Korea",82,440,11,Thu May 28 00:48:07 +0000 2009,907,907,false,844
